Date,Forex_cny(100millUSD),,Foex Reserves China,,Date,Forex_INR(mill USD),,Forex Reserves India
01/08/2025,36606.98,3660698,,,01-Aug-2025,688871,,
15/07/2025,26309.17,2630917,,,25-Jul-2025,698192,,
01/07/2025,36606.98,3660698,,,18-Jul-2025,695489,,
15/06/2025,26397.9,2639790,,,11-Jul-2025,696672,,
01/06/2025,36270.81,3627081,,,04-Jul-2025,699736,,
15/05/2025,26486.63,2648663,,,27-Jun-2025,702784,,
01/05/2025,35934.64,3593464,,,20-Jun-2025,697935,,
15/04/2025,26482.48,2648248,,,13-Jun-2025,698950,,
01/04/2025,35913.27,3591327,,,06-Jun-2025,696656,,
15/03/2025,26596.72,2659672,,,30-May-2025,691485,,
01/03/2025,35338.93,3533893,,,23-May-2025,692721,,
15/02/2025,26726.9,2672690,,,16-May-2025,685729,,
01/02/2025,34985.58,3498558,,,09-May-2025,690617,,
15/01/2025,26675.41,2667541,,,02-May-2025,686064,,
01/01/2025,34780.07,3478007,,,25-Apr-2025,688129,,
15/12/2024,26496.95,2649695,,,18-Apr-2025,686145,,
01/12/2024,34555.58,3455558,,,11-Apr-2025,677835,,
15/11/2024,26802.79,2680279,,,04-Apr-2025,676268,,
01/11/2024,35216.41,3521641,,,28-Mar-2025,665396,,
15/10/2024,26452.7,2645270,,,21-Mar-2025,658800,,
01/10/2024,35225.31,3522531,,,14-Mar-2025,654271,,
15/09/2024,26333.51,2633351,,,07-Mar-2025,653966,,
01/09/2024,35718.03,3571803,,,28-Feb-2025,638698,,
15/08/2024,26251.17,2625117,,,21-Feb-2025,640479,,
01/08/2024,35349.97,3534997,,,14-Feb-2025,635721,,
15/07/2024,26311.95,2631195,,,07-Feb-2025,638261,,
01/07/2024,34953.36,3495336,,,31-Jan-2025,630607,,
15/06/2024,26258.16,2625816,,,24-Jan-2025,629557,,
01/06/2024,34538.53,3453853,,,17-Jan-2025,623983,,
15/05/2024,26182.75,2618275,,,10-Jan-2025,625871,,
01/05/2024,34653.89,3465389,,,03-Jan-2025,634585,,
15/04/2024,26032.45,2603245,,,27-Dec-2024,640279,,
01/04/2024,34308.94,3430894,,,20-Dec-2024,644391,,
15/03/2024,26203.24,2620324,,,13-Dec-2024,652869,,
01/03/2024,34694.38,3469438,,,06-Dec-2024,654857,,
15/02/2024,25893.34,2589334,,,29-Nov-2024,658091,,
01/02/2024,34375.07,3437507,,,22-Nov-2024,656582,,
15/01/2024,25799.77,2579977,,,15-Nov-2024,657892,,
01/01/2024,34310.7,3431070,,,08-Nov-2024,675653,,
15/12/2023,25711.93,2571193,,,01-Nov-2024,682130,,
01/12/2023,34496.91,3449691,,,25-Oct-2024,684805,,
15/11/2023,25354,2535400,,,18-Oct-2024,688267,,
